horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
5,0,0.0,0.0,0.0,0.0,0.08000000000000002,0.3554710210669963,0,0,10,10
5,1,0.0,0.0,0.0,0.0,0.9583333333333333,0.9510602823102823,0,0,12,12
5,2,0.0,0.0,0.0,0.0,0.4444444444444444,0.5876623376623377,0,0,6,6
5,3,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
5,4,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,5,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
5,6,0.0,0.0,0.0,0.0,0.04999999999999999,0.32628968253968255,0,0,5,4
5,7,0.0,0.0,0.0,0.0,0.19999999999999996,0.3206349206349206,0,0,5,3
5,8,0.0,0.0,0.0,0.0,0.3877551020408163,0.4609057609057609,0,0,7,7
5,9,0.0,0.0,0.0,0.0,0.32,0.44666666666666666,0,0,5,5
5,10,0.0,0.0,0.0,0.0,0.888888888888889,0.9107142857142856,0,0,6,6
5,11,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
5,12,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
5,13,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
5,15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,12,12
5,16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,33,33
5,17,0.0,0.0,0.0,0.0,1.0,1.0,0,0,6,6
5,18,0.7368421052631579,0.5833333333333334,1.0,0.7142857142857143,1.0,0.9999999999999998,7,5,2,0
5,19,0.0,0.0,0.0,0.0,0.25,0.5146464646464646,0,0,6,6
5,20,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,21,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,22,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,24,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,26,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,28,0.0,0.0,0.0,0.0,,,0,0,6,0
5,29,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,30,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
5,31,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,32,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,33,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,34,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,35,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,36,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
