horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
2,0,0.0,0.0,0.0,0.0,0.98,0.9809090909090908,0,0,10,10
2,1,0.0,0.0,0.0,0.0,0.5874125874125874,0.48892373223924024,0,0,13,11
2,2,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0,0,9,3
2,3,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
2,5,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
2,6,0.0,0.0,0.0,0.0,0.45,0.4511904761904762,0,0,5,4
2,7,0.0,0.0,0.0,0.0,0.0,0.2757936507936508,0,0,5,3
2,8,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,0,0,7,7
2,9,0.0,0.0,0.0,0.0,0.6,0.5628571428571428,0,0,5,5
2,10,0.5,1.0,0.3333333333333333,0.0,0.5925925925925926,0.5444444444444444,1,0,9,2
2,11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
2,12,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
2,13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
2,15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,12,12
2,16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,33,33
2,17,0.0,0.0,0.0,0.0,1.0,1.0,0,0,6,6
2,18,0.0,0.0,0.0,0.0,0.9583333333333334,0.9484126984126984,0,0,8,6
2,19,0.0,0.0,0.0,0.0,0.9629629629629629,0.9166666666666665,0,0,9,3
2,20,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,21,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,22,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,24,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,26,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,27,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,28,0.0,0.0,0.0,0.0,,,0,0,6,0
2,29,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,30,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
2,31,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,32,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,33,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,34,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,35,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,36,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
